ts,run_id,model,prompt_tokens,completion_tokens,est_usd
2026-05-30T03:55:01+00:00,pr_b_live_verify,claude-haiku-4-5,192,52,0.000362
2026-05-30T03:55:02+00:00,pr_b_live_verify,claude-haiku-4-5,198,52,0.000366
